ln_precio_m2,precio_m2,precio,area_total_m2,ln_area_total_m2,area_constr_m2,ratio_construccion,dormitorios,banios,nro_pisos,cocheras,antiguedad,estado_inmueble,tipo_vivienda,distrito,piscina,terraza,jardin,parrilla,cuarto_servicio,banio_servicio,sistema_seguridad,colegios_cercanos,centros_comerciales_cercanos,parques_cercanos
7.366212917,1581.632653,310000,196,5.278114659,280,1.428571429,4,2,2,0,2,NoEspecifica,Casa,Ate,0,0,0,0,0,0,0,1,1,1
7.366668222,1582.352941,269000,170,5.135798437,170,1,4,2,2,1,3,Remodelado,Casa en quinta,Miraflores,0,1,0,0,1,0,0,1,1,1
7.367525732,1583.710407,350000,221,5.398162702,221,1,4,4,3,1,1,Excelente,Casa,Independencia,0,0,0,0,1,1,0,1,0,1
7.379794878,1603.26087,295000,184,5.214935758,258,1.402173913,5,4,3,1,2,Muy bueno,Casa,Ate,0,0,1,0,1,1,0,1,0,1
7.383178976,1608.695652,185000,115,4.744932128,180,1.565217391,5,4,3,1,1,Excelente,Casa,Comas,0,0,0,0,0,0,0,1,1,1
7.384679351,1611.111111,290000,180,5.192956851,326,1.811111111,3,3,3,1,3,Muy bueno,Casa,Chorrillos,0,0,0,0,0,0,0,1,0,1
7.385132969,1611.842105,245000,152,5.023880521,135,0.888157895,2,2,1,1,5,Bueno,Casa en condominio,Miraflores,0,0,1,0,0,0,0,0,0,0
7.386832204,1614.583333,620000,384,5.950642553,242,0.630208333,4,3,2,5,1,Bueno,Casa,Chorrillos,1,1,1,0,1,1,0,0,0,0
7.387032545,1614.906832,260000,161,5.081404365,270,1.677018634,4,2,2,2,3,Bueno,Casa,Surquillo,0,0,0,0,1,1,0,0,0,0
7.39155223,1622.222222,730000,450,6.109247583,620,1.377777778,5,4,2,3,3,A Remodelar,Casa,Miraflores,0,0,0,0,0,0,0,1,1,1
7.393263095,1625,130000,80,4.382026635,170,2.125,5,3,3,0,3,NoEspecifica,Casa,Callao,0,0,0,0,0,1,0,0,0,0
7.393263095,1625,195000,120,4.787491743,354,2.95,5,4,4,1,3,Excelente,Casa,Lurigancho,0,1,1,1,1,1,1,1,1,1
7.393263095,1625,325000,200,5.298317367,568,2.84,5,5,3,0,1,Bueno,Casa,Comas,0,1,0,0,0,0,0,0,0,0
7.39418945,1626.506024,270000,166,5.111987788,166,1,4,2,1,2,2,NoEspecifica,Casa,Chorrillos,0,0,0,0,0,0,0,0,0,1
7.400231764,1636.363636,180000,110,4.700480366,300,2.727272727,5,3,3,1,3,Remodelado,Casa,Callao,0,1,0,0,0,1,0,1,1,1
7.402167873,1639.534884,141000,86,4.454347296,120,1.395348837,3,3,3,0,1,Remodelado,Casa,Comas,0,0,0,1,0,0,1,1,1,1
7.404192165,1642.857143,690000,420,6.040254711,424,1.00952381,4,4,2,4,3,Remodelado,Casa,Miraflores,0,1,1,1,1,1,0,0,0,0
7.411801216,1655.405405,490000,296,5.690359454,241,0.814189189,4,4,2,2,1,NoEspecifica,Casa en condominio,Chorrillos,0,1,1,1,1,1,0,0,0,0
7.41231129,1656.25,265000,160,5.075173815,240,1.5,5,4,3,1,3,Muy bueno,Casa,Ate,0,0,0,0,1,1,0,1,1,1
7.418580903,1666.666667,170000,102,4.624972813,102,1,3,2,2,1,3,Excelente,Casa en condominio,Chorrillos,0,0,0,0,0,1,0,0,0,0
7.418580903,1666.666667,170000,102,4.624972813,102,1,3,2,2,1,2,Excelente,Casa,Chorrillos,0,0,0,0,1,1,0,1,1,1
7.418580903,1666.666667,500000,300,5.703782475,250,0.833333333,4,5,2,2,8,Excelente,Casa en condominio,Chorrillos,0,1,0,0,1,1,0,1,0,0
7.418580903,1666.666667,550000,330,5.799092654,330,1,5,4,3,3,2,Excelente,Casa,Miraflores,0,0,0,0,0,0,1,1,1,1
7.425011793,1677.419355,780000,465,6.142037406,465,1,4,5,3,2,1,Excelente,Casa,Miraflores,1,0,1,1,1,1,1,1,1,1
7.425698371,1678.571429,235000,140,4.941642423,200,1.428571429,3,2,2,1,2,Excelente,Casa,Chorrillos,0,0,0,0,1,0,0,1,1,1
7.426549072,1680,210000,125,4.828313737,160,1.28,4,2,2,1,2,Bueno,Casa,Chorrillos,0,1,0,0,0,0,0,0,1,1
7.427091592,1680.911681,590000,351,5.860786223,250,0.712250712,4,2,2,2,4,A Remodelar,Casa,Surquillo,0,1,1,0,1,1,0,0,0,0
7.431003423,1687.5,270000,160,5.075173815,350,2.1875,5,5,3,2,4,Muy bueno,Casa,Bellavista,0,0,0,1,0,1,0,1,1,1
7.432279747,1689.655172,980000,580,6.363028104,450,0.775862069,5,5,2,1,2,Remodelado,Casa,Miraflores,0,0,0,0,1,1,1,1,1,1
7.434391509,1693.227092,425000,251,5.525452939,213,0.848605578,4,5,2,3,2,Muy bueno,Casa,Bellavista,0,0,0,0,1,1,1,1,1,1
7.434841424,1693.989071,620000,366,5.902633333,275,0.75136612,3,3,2,3,4,A Remodelar,Casa,Miraflores,0,1,1,0,1,1,0,0,0,0
7.434841424,1693.989071,620000,366,5.902633333,275,0.75136612,3,3,2,3,3,NoEspecifica,Casa,Miraflores,0,1,1,0,1,1,0,0,0,0
7.434841424,1693.989071,620000,366,5.902633333,275,0.75136612,4,4,2,3,4,A Remodelar,Casa,Miraflores,0,1,1,1,1,1,0,0,0,0
7.43838353,1700,425000,250,5.521460918,250,1,5,5,1,0,4,NoEspecifica,Casa,Lince,0,0,1,0,0,0,1,1,1,1
7.438706684,1700.549451,619000,364,5.897153868,279,0.766483516,4,3,2,3,4,A Remodelar,Casa,Miraflores,0,1,1,0,1,1,0,0,0,0
7.43920019,1701.388889,490000,288,5.66296048,288,1,4,4,3,2,2,Remodelado,Casa,Miraflores,0,0,1,0,0,1,0,0,1,1
7.44675178,1714.285714,360000,210,5.347107531,210,1,5,4,2,2,3,NoEspecifica,Casa,Barranco,0,0,0,1,1,1,1,1,1,1
7.447236159,1715.116279,295000,172,5.147494477,172,1,4,2,3,1,3,Excelente,Casa,Miraflores,0,0,0,0,0,0,0,0,0,0
7.450841765,1721.311475,210000,122,4.804021045,298,2.442622951,4,5,3,1,1,NoEspecifica,Casa en condominio,Ate,1,0,1,0,0,0,0,1,1,1
7.451370726,1722.222222,155000,90,4.49980967,90,1,3,2,2,0,1,NoEspecifica,Casa,Ate,0,0,0,0,0,0,0,0,0,0
7.454298985,1727.272727,190000,110,4.700480366,110,1,2,2,1,0,2,Bueno,Casa,Barranco,0,0,1,0,0,0,0,0,0,0
7.45548546,1729.323308,230000,133,4.890349128,133,1,3,3,3,1,3,Muy bueno,Casa,Barranco,0,1,0,0,1,1,0,1,0,1
7.465100918,1746.031746,550000,315,5.752572639,416,1.320634921,5,3,3,3,3,A Remodelar,Casa,Miraflores,0,0,1,0,1,1,0,1,1,0
7.467371067,1750,280000,160,5.075173815,120,0.75,4,2,1,2,3,Bueno,Casa,Ate,0,1,0,0,0,0,0,1,1,1
7.471690728,1757.575758,232000,132,4.882801923,350,2.651515152,5,5,3,1,3,Excelente,Casa,Carabayllo,0,0,0,0,0,0,0,1,1,1
7.472850533,1759.615385,549000,312,5.743003188,280,0.897435897,5,2,2,2,5,A Remodelar,Casa,Miraflores,0,0,0,0,1,1,0,1,1,1
7.473389139,1760.56338,375000,213,5.361292166,213,1,3,3,3,1,3,Bueno,Casa en condominio,Chorrillos,0,0,1,0,1,1,0,0,0,0
7.473863191,1761.398176,579500,329,5.796057751,364,1.106382979,4,4,2,3,5,Bueno,Casa,Miraflores,0,1,1,0,1,1,0,0,0,0
